Source Plate Name	Source Well	Destination Plate Name	Destination Well	Transfer Volume	Sample ID
Source[1]	Mg-glutamate	Destination[1]	H17	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I17	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J17	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K17	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L17	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M17	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N17	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O17	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P17	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A18	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B18	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C18	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D18	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E18	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F18	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G18	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H18	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I18	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	J18	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	K18	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	L18	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	M18	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	N18	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	O18	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	P18	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	A19	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	B19	123.80952380952381	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	C19	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	D19	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	E19	619.047619047619	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	F19	0.0	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	G19	371.42857142857156	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	H19	495.23809523809524	Mg-glutamate
Source[1]	Mg-glutamate	Destination[1]	I19	371.42857142857156	Mg-glutamate
Source[1]	k-glutamate	Destination[1]	A1	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	B1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	C1	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	D1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	E1	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	F1	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	G1	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	H1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	I1	211.3095238095238	k-glutamate
Source[1]	k-glutamate	Destination[1]	J1	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	K1	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	L1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	M1	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	N1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	O1	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	P1	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	A2	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	B2	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	C2	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	D2	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	E2	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	F2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	G2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	H2	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	I2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	J2	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	K2	211.3095238095238	k-glutamate
Source[1]	k-glutamate	Destination[1]	L2	211.3095238095238	k-glutamate
Source[1]	k-glutamate	Destination[1]	M2	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	N2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	O2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	P2	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	A3	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	B3	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	C3	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	D3	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	E3	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	F3	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	G3	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	H3	1056.547619047619	k-glutamate
Source[1]	k-glutamate	Destination[1]	I3	0.0	k-glutamate
Source[1]	k-glutamate	Destination[1]	J3	211.3095238095238	k-glutamate
Source[1]	k-glutamate	Destination[1]	K3	845.2380952380952	k-glutamate
Source[1]	k-glutamate	Destination[1]	L3	633.9285714285716	k-glutamate
Source[1]	k-glutamate	Destination[1]	M3	0.0	k-glutamate
