Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mg-glutamate well	destPlate1	D13	0
Plate1	Mg-glutamate well	destPlate1	E13	20
Plate1	Mg-glutamate well	destPlate1	F13	0
Plate1	Mg-glutamate well	destPlate1	G13	0
Plate1	Mg-glutamate well	destPlate1	H13	60
Plate1	Mg-glutamate well	destPlate1	I13	20
Plate1	Mg-glutamate well	destPlate1	J13	0
Plate1	Mg-glutamate well	destPlate1	K13	0
Plate1	Mg-glutamate well	destPlate1	L13	20
Plate1	Mg-glutamate well	destPlate1	M13	100
Plate1	Mg-glutamate well	destPlate1	N13	0
Plate1	Mg-glutamate well	destPlate1	O13	100
Plate1	Mg-glutamate well	destPlate1	P13	80
Plate1	Mg-glutamate well	destPlate1	A14	100
Plate1	Mg-glutamate well	destPlate1	B14	60
Plate1	Mg-glutamate well	destPlate1	C14	60
Plate1	Mg-glutamate well	destPlate1	D14	60
Plate1	Mg-glutamate well	destPlate1	E14	60
Plate1	Mg-glutamate well	destPlate1	F14	100
Plate1	Mg-glutamate well	destPlate1	G14	100
Plate1	Mg-glutamate well	destPlate1	H14	0
Plate1	Mg-glutamate well	destPlate1	I14	80
Plate1	Mg-glutamate well	destPlate1	J14	20
Plate1	Mg-glutamate well	destPlate1	K14	0
Plate1	Mg-glutamate well	destPlate1	L14	20
Plate1	Mg-glutamate well	destPlate1	M14	0
Plate1	Mg-glutamate well	destPlate1	N14	0
Plate1	Mg-glutamate well	destPlate1	O14	80
Plate1	Mg-glutamate well	destPlate1	P14	80
Plate1	Mg-glutamate well	destPlate1	A15	20
Plate1	Mg-glutamate well	destPlate1	B15	100
Plate1	Mg-glutamate well	destPlate1	C15	60
Plate1	Mg-glutamate well	destPlate1	D15	60
Plate1	Mg-glutamate well	destPlate1	E15	0
Plate1	Mg-glutamate well	destPlate1	F15	20
Plate1	Mg-glutamate well	destPlate1	G15	0
Plate1	Mg-glutamate well	destPlate1	H15	0
Plate1	Mg-glutamate well	destPlate1	I15	60
Plate1	Mg-glutamate well	destPlate1	J15	20
Plate1	Mg-glutamate well	destPlate1	K15	0
Plate1	Mg-glutamate well	destPlate1	L15	0
Plate1	Mg-glutamate well	destPlate1	M15	20
Plate1	Mg-glutamate well	destPlate1	N15	100
Plate1	Mg-glutamate well	destPlate1	O15	0
Plate1	Mg-glutamate well	destPlate1	P15	100
Plate1	Mg-glutamate well	destPlate1	A16	80
Plate1	Mg-glutamate well	destPlate1	B16	100
Plate1	Mg-glutamate well	destPlate1	C16	60
Plate1	Mg-glutamate well	destPlate1	D16	60
Plate1	Mg-glutamate well	destPlate1	E16	60
Plate1	Mg-glutamate well	destPlate1	F16	60
Plate1	Mg-glutamate well	destPlate1	G16	100
Plate1	Mg-glutamate well	destPlate1	H16	100
Plate1	Mg-glutamate well	destPlate1	I16	0
Plate1	Mg-glutamate well	destPlate1	J16	80
Plate1	Mg-glutamate well	destPlate1	K16	20
Plate1	Mg-glutamate well	destPlate1	L16	0
Plate1	Mg-glutamate well	destPlate1	M16	20
Plate1	Mg-glutamate well	destPlate1	N16	0
Plate1	Mg-glutamate well	destPlate1	O16	0
Plate1	Mg-glutamate well	destPlate1	P16	80
Plate1	Mg-glutamate well	destPlate1	A17	80
Plate1	Mg-glutamate well	destPlate1	B17	20
Plate1	Mg-glutamate well	destPlate1	C17	100
Plate1	Mg-glutamate well	destPlate1	D17	60
Plate1	Mg-glutamate well	destPlate1	E17	60
Plate1	Mg-glutamate well	destPlate1	F17	0
Plate1	Mg-glutamate well	destPlate1	G17	20
Plate1	Mg-glutamate well	destPlate1	H17	0
Plate1	Mg-glutamate well	destPlate1	I17	0
Plate1	Mg-glutamate well	destPlate1	J17	60
Plate1	Mg-glutamate well	destPlate1	K17	20
Plate1	Mg-glutamate well	destPlate1	L17	0
Plate1	Mg-glutamate well	destPlate1	M17	0
Plate1	Mg-glutamate well	destPlate1	N17	20
Plate1	Mg-glutamate well	destPlate1	O17	100
Plate1	Mg-glutamate well	destPlate1	P17	0
Plate1	Mg-glutamate well	destPlate1	A18	100
Plate1	Mg-glutamate well	destPlate1	B18	80
Plate1	Mg-glutamate well	destPlate1	C18	100
Plate1	Mg-glutamate well	destPlate1	D18	60
Plate1	Mg-glutamate well	destPlate1	E18	60
Plate1	Mg-glutamate well	destPlate1	F18	60
Plate1	Mg-glutamate well	destPlate1	G18	60
Plate1	Mg-glutamate well	destPlate1	H18	100
Plate1	Mg-glutamate well	destPlate1	I18	100
Plate1	Mg-glutamate well	destPlate1	J18	0
Plate1	Mg-glutamate well	destPlate1	K18	80
Plate1	Mg-glutamate well	destPlate1	L18	20
Plate1	Mg-glutamate well	destPlate1	M18	0
Plate1	Mg-glutamate well	destPlate1	N18	20
Plate1	Mg-glutamate well	destPlate1	O18	0
Plate1	Mg-glutamate well	destPlate1	P18	0
Plate1	Mg-glutamate well	destPlate1	A19	80
Plate1	Mg-glutamate well	destPlate1	B19	80
Plate1	Mg-glutamate well	destPlate1	C19	20
Plate1	Mg-glutamate well	destPlate1	D19	100
Plate1	Mg-glutamate well	destPlate1	E19	60
Plate1	Mg-glutamate well	destPlate1	F19	60
Plate1	Mg-glutamate well	destPlate1	G19	0
Plate1	Mg-glutamate well	destPlate1	H19	20
Plate1	Mg-glutamate well	destPlate1	I19	0
Plate1	K-glutamate well	destPlate1	A1	54
Plate1	K-glutamate well	destPlate1	B1	54
Plate1	K-glutamate well	destPlate1	C1	216
Plate1	K-glutamate well	destPlate1	D1	216
Plate1	K-glutamate well	destPlate1	E1	270
Plate1	K-glutamate well	destPlate1	F1	162
Plate1	K-glutamate well	destPlate1	G1	162
Plate1	K-glutamate well	destPlate1	H1	0
Plate1	K-glutamate well	destPlate1	I1	216
Plate1	K-glutamate well	destPlate1	J1	0
Plate1	K-glutamate well	destPlate1	K1	0
Plate1	K-glutamate well	destPlate1	L1	216
Plate1	K-glutamate well	destPlate1	M1	54
Plate1	K-glutamate well	destPlate1	N1	162
Plate1	K-glutamate well	destPlate1	O1	270
Plate1	K-glutamate well	destPlate1	P1	162
Plate1	K-glutamate well	destPlate1	A2	54
Plate1	K-glutamate well	destPlate1	B2	54
Plate1	K-glutamate well	destPlate1	C2	54
Plate1	K-glutamate well	destPlate1	D2	54
Plate1	K-glutamate well	destPlate1	E2	270
Plate1	K-glutamate well	destPlate1	F2	216
Plate1	K-glutamate well	destPlate1	G2	162
Plate1	K-glutamate well	destPlate1	H2	54
Plate1	K-glutamate well	destPlate1	I2	0
Plate1	K-glutamate well	destPlate1	J2	162
Plate1	K-glutamate well	destPlate1	K2	270
Plate1	K-glutamate well	destPlate1	L2	216
Plate1	K-glutamate well	destPlate1	M2	216
Plate1	K-glutamate well	destPlate1	N2	0
Plate1	K-glutamate well	destPlate1	O2	270
Plate1	K-glutamate well	destPlate1	P2	54
Plate1	K-glutamate well	destPlate1	A3	216
Plate1	K-glutamate well	destPlate1	B3	54
Plate1	K-glutamate well	destPlate1	C3	54
Plate1	K-glutamate well	destPlate1	D3	216
Plate1	K-glutamate well	destPlate1	E3	216
Plate1	K-glutamate well	destPlate1	F3	270
Plate1	K-glutamate well	destPlate1	G3	162
Plate1	K-glutamate well	destPlate1	H3	162
Plate1	K-glutamate well	destPlate1	I3	0
Plate1	K-glutamate well	destPlate1	J3	216
Plate1	K-glutamate well	destPlate1	K3	0
Plate1	K-glutamate well	destPlate1	L3	0
Plate1	K-glutamate well	destPlate1	M3	216
Plate1	K-glutamate well	destPlate1	N3	54
Plate1	K-glutamate well	destPlate1	O3	162
Plate1	K-glutamate well	destPlate1	P3	270
Plate1	K-glutamate well	destPlate1	A4	162
Plate1	K-glutamate well	destPlate1	B4	54
Plate1	K-glutamate well	destPlate1	C4	54
Plate1	K-glutamate well	destPlate1	D4	54
Plate1	K-glutamate well	destPlate1	E4	54
Plate1	K-glutamate well	destPlate1	F4	270
Plate1	K-glutamate well	destPlate1	G4	216
Plate1	K-glutamate well	destPlate1	H4	162
Plate1	K-glutamate well	destPlate1	I4	54
Plate1	K-glutamate well	destPlate1	J4	0
Plate1	K-glutamate well	destPlate1	K4	162
Plate1	K-glutamate well	destPlate1	L4	270
Plate1	K-glutamate well	destPlate1	M4	216
Plate1	K-glutamate well	destPlate1	N4	216
Plate1	K-glutamate well	destPlate1	O4	0
Plate1	K-glutamate well	destPlate1	P4	270
Plate1	K-glutamate well	destPlate1	A5	54
Plate1	K-glutamate well	destPlate1	B5	216
Plate1	K-glutamate well	destPlate1	C5	54
Plate1	K-glutamate well	destPlate1	D5	54
Plate1	K-glutamate well	destPlate1	E5	216
Plate1	K-glutamate well	destPlate1	F5	216
Plate1	K-glutamate well	destPlate1	G5	270
Plate1	K-glutamate well	destPlate1	H5	162
Plate1	K-glutamate well	destPlate1	I5	162
Plate1	K-glutamate well	destPlate1	J5	0
Plate1	K-glutamate well	destPlate1	K5	216
Plate1	K-glutamate well	destPlate1	L5	0
Plate1	K-glutamate well	destPlate1	M5	0
Plate1	K-glutamate well	destPlate1	N5	216
Plate1	K-glutamate well	destPlate1	O5	54
Plate1	K-glutamate well	destPlate1	P5	162
Plate1	K-glutamate well	destPlate1	A6	270
Plate1	K-glutamate well	destPlate1	B6	162
Plate1	K-glutamate well	destPlate1	C6	54
Plate1	K-glutamate well	destPlate1	D6	54
Plate1	K-glutamate well	destPlate1	E6	54
Plate1	K-glutamate well	destPlate1	F6	54
