Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Energy mix well	destPlate1	P1	0
Plate1	Energy mix well	destPlate1	A2	560
Plate1	Energy mix well	destPlate1	B2	140
Plate1	Energy mix well	destPlate1	C2	700
Plate1	Energy mix well	destPlate1	D2	560
Plate1	Energy mix well	destPlate1	E2	140
Plate1	Energy mix well	destPlate1	F2	420
Plate1	Energy mix well	destPlate1	G2	560
Plate1	Energy mix well	destPlate1	H2	420
Plate1	Energy mix well	destPlate1	I2	420
Plate1	Energy mix well	destPlate1	J2	700
Plate1	Energy mix well	destPlate1	K2	420
Plate1	Energy mix well	destPlate1	L2	0
Plate1	Energy mix well	destPlate1	M2	0
Plate1	Energy mix well	destPlate1	N2	140
Plate1	Energy mix well	destPlate1	O2	700
Plate1	Energy mix well	destPlate1	P2	560
Plate1	Energy mix well	destPlate1	A3	420
Plate1	Energy mix well	destPlate1	B3	560
Plate1	Energy mix well	destPlate1	C3	560
Plate1	Energy mix well	destPlate1	D3	560
Plate1	Energy mix well	destPlate1	E3	700
Plate1	Energy mix well	destPlate1	F3	420
Plate1	Energy mix well	destPlate1	G3	420
Plate1	Energy mix well	destPlate1	H3	0
Plate1	Energy mix well	destPlate1	I3	140
Plate1	Energy mix well	destPlate1	J3	0
Plate1	Energy mix well	destPlate1	K3	140
Plate1	Energy mix well	destPlate1	L3	0
Plate1	Energy mix well	destPlate1	M3	700
Plate1	Energy mix well	destPlate1	N3	700
Plate1	Energy mix well	destPlate1	O3	700
Plate1	Energy mix well	destPlate1	P3	0
Plate1	Energy mix well	destPlate1	A4	140
Plate1	Energy mix well	destPlate1	B4	0
Plate1	Energy mix well	destPlate1	C4	0
Plate1	Energy mix well	destPlate1	D4	420
Plate1	Energy mix well	destPlate1	E4	560
Plate1	Energy mix well	destPlate1	F4	140
Plate1	Energy mix well	destPlate1	G4	700
Plate1	Energy mix well	destPlate1	H4	700
Plate1	Energy mix well	destPlate1	I4	140
Plate1	Energy mix well	destPlate1	J4	560
Plate1	Energy mix well	destPlate1	K4	560
Plate1	Energy mix well	destPlate1	L4	420
Plate1	Energy mix well	destPlate1	M4	420
Plate1	Energy mix well	destPlate1	N4	140
Plate1	Energy mix well	destPlate1	O4	560
Plate1	Energy mix well	destPlate1	P4	560
Plate1	Energy mix well	destPlate1	A5	700
Plate1	Energy mix well	destPlate1	B5	700
Plate1	Energy mix well	destPlate1	C5	140
Plate1	Energy mix well	destPlate1	D5	140
Plate1	Energy mix well	destPlate1	E5	0
Plate1	Energy mix well	destPlate1	F5	0
Plate1	Energy mix well	destPlate1	G5	140
Plate1	Energy mix well	destPlate1	H5	560
Plate1	Energy mix well	destPlate1	I5	700
Plate1	Energy mix well	destPlate1	J5	700
Plate1	Energy mix well	destPlate1	K5	420
Plate1	Energy mix well	destPlate1	L5	560
Plate1	Energy mix well	destPlate1	M5	0
Plate1	Energy mix well	destPlate1	N5	0
Plate1	Energy mix well	destPlate1	O5	700
Plate1	Energy mix well	destPlate1	P5	700
Plate1	Energy mix well	destPlate1	A6	420
Plate1	Energy mix well	destPlate1	B6	140
Plate1	Energy mix well	destPlate1	C6	700
Plate1	Energy mix well	destPlate1	D6	0
Plate1	Energy mix well	destPlate1	E6	420
Plate1	Energy mix well	destPlate1	F6	560
Plate1	Energy mix well	destPlate1	G6	420
Plate1	Energy mix well	destPlate1	H6	700
Plate1	Energy mix well	destPlate1	I6	560
Plate1	Energy mix well	destPlate1	J6	420
Plate1	Energy mix well	destPlate1	K6	700
Plate1	Energy mix well	destPlate1	L6	0
Plate1	Energy mix well	destPlate1	M6	0
Plate1	Energy mix well	destPlate1	N6	420
Plate1	Energy mix well	destPlate1	O6	560
Plate1	Energy mix well	destPlate1	P6	560
Plate1	Energy mix well	destPlate1	A7	140
Plate1	Energy mix well	destPlate1	B7	700
Plate1	Energy mix well	destPlate1	C7	140
Plate1	Mix 1 well	destPlate1	A1	1000
Plate1	Mix 1 well	destPlate1	B1	1000
Plate1	Mix 1 well	destPlate1	C1	1000
Plate1	Mix 1 well	destPlate1	D1	1000
Plate1	Mix 1 well	destPlate1	E1	1000
Plate1	Mix 1 well	destPlate1	F1	1000
Plate1	Mix 1 well	destPlate1	G1	1000
Plate1	Mix 1 well	destPlate1	H1	1000
Plate1	Mix 1 well	destPlate1	I1	1000
Plate1	Mix 1 well	destPlate1	J1	1000
Plate1	Mix 1 well	destPlate1	K1	1000
Plate1	Mix 1 well	destPlate1	L1	1000
Plate1	Mix 1 well	destPlate1	M1	1000
Plate1	Mix 1 well	destPlate1	N1	1000
Plate1	Mix 1 well	destPlate1	O1	1000
Plate1	Mix 1 well	destPlate1	P1	1000
Plate1	Mix 1 well	destPlate1	A2	1000
Plate1	Mix 1 well	destPlate1	B2	1000
Plate1	Mix 1 well	destPlate1	C2	1000
Plate1	Mix 1 well	destPlate1	D2	1000
Plate1	Mix 1 well	destPlate1	E2	1000
Plate1	Mix 1 well	destPlate1	F2	1000
Plate1	Mix 1 well	destPlate1	G2	1000
Plate1	Mix 1 well	destPlate1	H2	1000
Plate1	Mix 1 well	destPlate1	I2	1000
Plate1	Mix 1 well	destPlate1	J2	1000
Plate1	Mix 1 well	destPlate1	K2	1000
Plate1	Mix 1 well	destPlate1	L2	1000
Plate1	Mix 1 well	destPlate1	M2	1000
Plate1	Mix 1 well	destPlate1	N2	1000
Plate1	Mix 1 well	destPlate1	O2	1000
Plate1	Mix 1 well	destPlate1	P2	1000
Plate1	Mix 1 well	destPlate1	A3	1000
Plate1	Mix 1 well	destPlate1	B3	1000
Plate1	Mix 1 well	destPlate1	C3	1000
Plate1	Mix 1 well	destPlate1	D3	1000
Plate1	Mix 1 well	destPlate1	E3	1000
Plate1	Mix 1 well	destPlate1	F3	1000
Plate1	Mix 1 well	destPlate1	G3	1000
Plate1	Mix 1 well	destPlate1	H3	1000
Plate1	Mix 1 well	destPlate1	I3	1000
Plate1	Mix 1 well	destPlate1	J3	1000
Plate1	Mix 1 well	destPlate1	K3	1000
